Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-08-22,Oppenheimer,2023,https://boxd.it/4JFzln,4,,,2023-07-23
2023-08-22,Barbie,2023,https://boxd.it/4JFBEL,4,,,2023-07-23
2023-08-22,Boogie Nights,1997,https://boxd.it/4JFGf7,3.5,,,2023-08-20
2023-08-22,Ghosted,2023,https://boxd.it/4JFpPd,3.5,,,2023-08-21
2023-08-29,First Reformed,2017,https://boxd.it/4LPbBp,4.5,,,2023-08-28
2023-08-30,See How They Run,2022,https://boxd.it/4M5Wfn,3.5,,,2023-08-29
2023-08-31,Palm Springs,2020,https://boxd.it/4Mmeop,5,,,2023-08-30
2023-09-06,Perfect Blue,1997,https://boxd.it/4O4vr3,3.5,,,2023-09-05
2023-09-08,Sorry to Bother You,2018,https://boxd.it/4OEYDf,4.5,,,2023-09-07
2023-09-09,This Place Rules,2022,https://boxd.it/4ORHE7,4,,,2023-09-08
2023-09-09,Oldboy,2003,https://boxd.it/4OYdzl,4,,,2023-09-08
2023-09-10,Get Shorty,1995,https://boxd.it/4PggA3,3.5,,,2023-09-09
2023-09-11,Aftersun,2022,https://boxd.it/4PEwaN,3.5,,,2023-09-10
2023-09-17,Slap Shot,1977,https://boxd.it/4ReZkj,3,,,2023-09-16
2023-09-28,Past Lives,2023,https://boxd.it/4UnpuR,3,,,2023-09-27
2023-10-01,The Handmaiden,2016,https://boxd.it/4VffLL,4.5,,,2023-09-30
2023-10-10,Nashville,1975,https://boxd.it/4YkQiD,2.5,,,2023-10-09
2023-10-14,Hands on a Hardbody: The Documentary,1997,https://boxd.it/4ZDfA3,4,,,2023-10-13
2023-10-28,Solaris,1972,https://boxd.it/54bCUT,4,,,2023-10-27
2023-11-08,The Interview,2014,https://boxd.it/585TML,3.5,,,2023-11-08
2023-11-25,The Great Race,1965,https://boxd.it/5douAj,2.5,,,2023-11-22
2023-11-24,Shake Hands with the Devil,2007,https://boxd.it/5d59Qd,3.5,,,2023-11-23
2023-11-25,The Holdovers,2023,https://boxd.it/5dorEd,4.5,,,2023-11-24
2023-12-02,Beyond the Infinite Two Minutes,2020,https://boxd.it/5fPFT9,4.5,,,2023-12-01
2023-12-10,Moulin Rouge!,2001,https://boxd.it/5iByl9,4,,,2023-12-09
2023-12-17,The Barkley Marathons: The Race That Eats Its Young,2014,https://boxd.it/5kOrjp,4,,,2023-12-16
2023-12-22,The Law,1990,https://boxd.it/5n32lj,4,,,2023-12-21
2023-12-28,A Haunting in Venice,2023,https://boxd.it/5q2C9D,4,,,2023-12-27
2023-12-30,Wonka,2023,https://boxd.it/5rbJGB,3.5,,,2023-12-29
2024-01-07,Moulin Rouge!,2001,https://boxd.it/5wqUfV,4,Yes,,2023-12-30
2024-01-05,"I Love You, Man",2009,https://boxd.it/5uYOJZ,2.5,,,2024-01-04
2024-01-06,Team America: World Police,2004,https://boxd.it/5vAWjB,2,,,2024-01-05
2024-01-07,The Wolf of Snow Hollow,2020,https://boxd.it/5wgxp9,3,,,2024-01-06
2024-01-08,Bob Roberts,1992,https://boxd.it/5x7X27,4,,,2024-01-07
2024-01-10,The Iron Giant,1999,https://boxd.it/5yk6Kv,4.5,,,2024-01-09
2024-01-12,Reservoir Dogs,1992,https://boxd.it/5zoAC9,3,,,2024-01-12
2024-01-15,The Full Monty,1997,https://boxd.it/5B2P25,4.5,,,2024-01-14
2024-01-15,Mystery Team,2009,https://boxd.it/5B79qf,3.5,,,2024-01-14
2024-01-20,Mean Girls,2024,https://boxd.it/5DA28T,4,,,2024-01-19
2024-01-25,The Third Man,1949,https://boxd.it/5G3TqH,4,,,2024-01-24
2024-01-26,Contact,1997,https://boxd.it/5GBRsJ,3.5,,,2024-01-25
2024-02-04,The Day After Tomorrow,2004,https://boxd.it/5L0jAF,3.5,,,2024-02-03
2024-03-03,Dune: Part Two,2024,https://boxd.it/5XEpxv,4.5,,,2024-03-02
2024-03-10,War of the Worlds,2005,https://boxd.it/614I55,3,,,2024-03-09
2024-03-24,Licorice Pizza,2021,https://boxd.it/67y6od,3.5,,,2024-03-23
2024-04-12,Cane Toads: An Unnatural History,1988,https://boxd.it/6gbomz,3.5,,,2024-04-11
2024-05-15,The Da Vinci Code,2006,https://boxd.it/6tFrfj,2.5,,,2024-05-15
2024-06-15,Scary Movie,2000,https://boxd.it/6G3tFf,2,,,2024-06-10
2024-06-15,Alone,2020,https://boxd.it/6G6bkJ,3.5,,,2024-06-14
2024-07-04,Identity,2003,https://boxd.it/6NK8kz,2,,,2024-06-28
2024-07-04,Punch-Drunk Love,2002,https://boxd.it/6NMaab,4.5,,,2024-07-04
